"Date","Room","Prov","Pot","Code","Height","D1","D2","D","Stemmass","Rootmass","Leafmass","Leafarea"
2016-01-08,1,"A",1,"A-01",12.5,0.77,0.96,0.865,0.0181399052772987,0.0393454663592906,0.056406009350923,19.8004595286296
2016-01-08,1,"A",2,"A-02",13.5,0.98,1.01,0.995,0.0258463350028092,0.0523847567744943,0.0769351340668124,26.0168598022794
2016-01-08,1,"A",3,"A-03",15.2,0.9,0.91,0.905,0.0265391985085544,0.043579185721031,0.0705503471885278,24.59079610137
2016-01-08,1,"A",4,"A-04",15.5,0.98,1.05,1.015,0.0331436137409178,0.0549591738967071,0.0881583460733894,29.7644549229532
2016-01-08,1,"A",5,"A-05",10.4,0.95,0.98,0.965,0.0163496052768855,0.0485232246132761,0.0602491225821977,20.3957206576389
2016-01-08,1,"A",6,"A-06",15.4,0.94,0.95,0.945,0.0291164725895998,0.0475786501090608,0.0770505124805485,26.5401446825594
2016-01-08,1,"A",7,"A-07",10.6,0.75,0.73,0.74,0.0108062198445877,0.0284676748838708,0.037688162833064,13.7605256087312
2016-01-08,1,"A",8,"A-08",12.2,0.64,0.58,0.61,0.00974136434812708,0.0194522430798666,0.0293603542952987,11.3682652376588
2016-01-08,1,"A",9,"A-09",16.3,1.08,1.07,1.075,0.0394615226843425,0.0618725264534971,0.101496571534792,33.7652560540427
2016-01-08,1,"A",10,"A-10",17.6,1.05,1.09,1.07,0.0441318437104551,0.0615647706435934,0.106385738634178,35.5177624291603
2016-01-08,1,"A",11,"A-11",14.2,0.96,0.95,0.955,0.0261122303667834,0.0483720902619462,0.0740621424966303,25.3749265110409
2016-01-08,1,"A",12,"A-12",14,0.99,0.89,0.94,0.0248739639787826,0.0468168827702007,0.0712248175149479,24.5021657687188
2016-01-08,1,"A",13,"A-13",18,1.04,1.1,1.07,0.0457056926082927,0.0616441092469778,0.108129937473921,36.1237240070858
2016-01-08,1,"A",14,"A-14",16.8,1.03,1.09,1.06,0.0404047792487696,0.0602512778211672,0.101121971148805,33.8043112589583
2016-01-08,1,"A",15,"A-15",12.7,0.97,1.04,1.005,0.0238941371895549,0.0532630807827442,0.0749595440338942,25.2322549473293
2016-01-08,1,"B",1,"B-01",12,0.82,0.9,0.86,0.0168570845917342,0.038798153485976,0.0541896613039504,19.0310014390661
2016-01-08,1,"B",2,"B-02",11.8,0.79,0.78,0.785,0.0140979496296215,0.0322571710271146,0.0453467825576555,16.3336910563615
2016-01-08,1,"B",3,"B-03",11.8,0.74,0.85,0.795,0.0143994446024447,0.0330896227303761,0.0464030818913235,16.6544476175924
2016-01-08,1,"B",4,"B-04",17.3,0.99,0.97,0.98,0.0370957186196856,0.0515346074940217,0.0895505812414465,30.6339083655888
2016-01-08,1,"B",5,"B-05",11.8,0.88,0.71,0.795,0.0143994446024447,0.0330896227303761,0.0464030818913235,16.6544476175924
2016-01-08,1,"B",6,"B-06",13.1,0.95,0.99,0.97,0.0236350859823055,0.0496834496120098,0.0718735317237769,24.4592641770772
2016-01-08,1,"B",7,"B-07",11.8,0.9,0.87,0.885,0.0172267845785763,0.0410621986828741,0.0563991557728656,19.637502839781
2016-01-08,1,"B",8,"B-08",12.5,1.01,1.04,1.025,0.0240906077061075,0.0553677302041604,0.0768078770115784,25.6988825888766
2016-01-08,1,"B",9,"B-09",15.2,1.32,1.38,1.35,0.051787707564582,0.0974719919253638,0.146031515757623,45.4578876061096
2016-01-08,1,"B",10,"B-10",13,0.89,0.91,0.9,0.0206058679663735,0.0427115031649673,0.0623716854517692,21.6751840162899
2016-01-08,1,"B",11,"B-11",14.3,1.22,1.14,1.18,0.037599669590991,0.0740809645300217,0.109379609330265,35.306472287075
2016-01-08,1,"B",12,"B-12",14.2,0.82,0.88,0.85,0.0214924067526543,0.0382627685274783,0.0599210015896693,21.2173291272318
